Year,MMBTU/metric ton steam,CO2 - kg per metric ton steam,CH4 - kg per metric ton steam,N2O - kg per metric ton steam,CO2e - kg per metric ton steam
2005,2.8761,165.7703,0.0053,0.0009,166.185
2006,2.4382,132.8644,0.0041,0.0007,133.1826
2007,2.5226,137.8423,0.0043,0.0008,138.1739
2008,2.4609,132.0984,0.0039,0.0007,132.3949
2009,2.6251,142.52,0.0043,0.0007,142.8481
2010,2.3331,122.4715,0.0035,0.0006,122.7282
2011,2.4225,122.6074,0.0032,0.0005,122.8326
2012,2.1083,102.7037,0.0025,0.0004,102.8749
2013,2.1638,104.8528,0.0025,0.0003,105.0162
2014,2.3022,110.6113,0.0024,0.0003,110.7578
2015,2.2011,107.0042,0.0023,0.0003,107.1492
2016,2.1625,116.3374,0.0023,0.0003,116.471